Reference,Location,ID,Volume,H/L,F-Angle,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",22,"10,590",0.41,22,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",23,"128,900",0.34,19,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",MAB_LS3,"1,200",0.58,30,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",MAB_LS4,"1,100",0.27,15,,,,,,,
"Brideau et al., 2020.  Empirical Relationships to Estimate the Probability of Runout Exceedance for Various Landslide Types. In: Guzzetti F., Mihali? Arbanas S., Reichenbach P., Sassa K., Bobrowsky P.T., Takara K. (eds) Understanding and Reducing Landslide Disaster Risk. WLF 2020. ICL Contribution to Landslide Disaster Risk Reduction. Springer, Cham.","Kaikoura, NZ",MAB_LS5,"130,000",0.1,6,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-623",Hong Kong ,HK32,170,0.32,18,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-624",Hong Kong ,HK33,80,0.55,29,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-625",Hong Kong ,HK34,150,0.55,29,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-626",Hong Kong ,HK36,"3,000",0.4,22,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-627",Hong Kong ,HK37,"13,000",0.43,23,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-628",Hong Kong ,HK38,900,0.98,44,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-629",Hong Kong ,HK39,"1,000",0.39,21,,,,,,,
"Hunter and Fell, 2003. Travel distance angle for rapid landslides in constructured natural soil slopes. Canadian Geotechinical Journal 32: 610-630",Hong Kong ,HK43,450,0.35,19,,,,,,,
"Ayotte, D., and Hungr, O. 1998. Runout analysis of debris flows and debris avalanches in Hong Kong. Final report on backanalysis of twenty case-histories based on runout characteristics. Report to the Geotechnical Engineering Office, the Government of the Hong Kong Special Administrative Region, China.",Hong Kong ,HK56,"1,500",0.41,22,,,,,,,
"Ayotte, D., and Hungr, O. 1998. Runout analysis of debris flows and debris avalanches in Hong Kong. Final report on backanalysis of twenty case-histories based on runout characteristics. Report to the Geotechnical Engineering Office, the Government of the Hong Kong Special Administrative Region, China.",Hong Kong ,HK57,"1,500",0.33,18,,,,,,,
"Ayotte, D., and Hungr, O. 1998. Runout analysis of debris flows and debris avalanches in Hong Kong. Final report on backanalysis of twenty case-histories based on runout characteristics. Report to the Geotechnical Engineering Office, the Government of the Hong Kong Special Administrative Region, China.",Hong Kong ,HK58,50,0.38,21,,,,,,,
"McDonald GN, Giraud RE (2002) September 12, 2002, fire-related debris flows east of Santaquin and Spring Lake, Utah County, Utah. Technical Report 02-09, Utah Geological Survey, Salt Lake City, Utah",Utah,T3,"1,700",0.19,11,,,,,,,
"McDonald GN, Giraud RE (2002) September 12, 2002, fire-related debris flows east of Santaquin and Spring Lake, Utah County, Utah. Technical Report 02-09, Utah Geological Survey, Salt Lake City, Utah",Utah,T4,"15,200",0.19,11,,,,,,,
"McDonald GN, Giraud RE (2002) September 12, 2002, fire-related debris flows east of Santaquin and Spring Lake, Utah County, Utah. Technical Report 02-09, Utah Geological Survey, Salt Lake City, Utah",Utah,T5,"9,900",0.23,13,,,,,,,
"McDonald GN, Giraud RE (2002) September 12, 2002, fire-related debris flows east of Santaquin and Spring Lake, Utah County, Utah. Technical Report 02-09, Utah Geological Survey, Salt Lake City, Utah",Utah,T6,"7,600",0.29,16,,,,,,,
"McDonald GN, Giraud RE (2002) September 12, 2002, fire-related debris flows east of Santaquin and Spring Lake, Utah County, Utah. Technical Report 02-09, Utah Geological Survey, Salt Lake City, Utah",Utah,T7,"2,400",0.34,19,,,,,,,
"McDonald GN, Giraud RE (2002) September 12, 2002, fire-related debris flows east of Santaquin and Spring Lake, Utah County, Utah. Technical Report 02-09, Utah Geological Survey, Salt Lake City, Utah",Utah,T9,530,0.33,18,,,,,,,
"Cannon et al., 1998 Fire-related hyperconcentrated and debris flows on Storm King Mountain, Glenwood Springs, Colorado, USA. Environmental Geology. 35 (2-3)",Colorado,Storm King Mountain - G,"1,000",0.32,18,,,,,,,
"Campbell, 1975. Soil slips, debris flows and rainstorms in the Santa Monica Mountains and Vicinity, Southern California. Geological Survey Professional Paper 851",California,Newton Canyon,"5,400",0.12,7,,,,,,,
"Curry, R.R., 1966. Observations of alpine mudflows in the TenmileRange, Central Colorado. Geological Society of America Bulletin77, 771–777.",Colorado ,Mayflower Gulch,"17,000",0.38,21,,,,,,,
"Johnson,  A.M.,  1984,  Debris  flow, in: Brunsden,  D.,  and  Prior,  D.B.,  eds.,  Slope  Instability:New York, Wiley, p. 257–361",California,Surprise Canyon,"500,000",0.11,6,,,,,,,
"De Graff, 1997. Sourgrass debris flow: a landslide triggerred in the Sierra Nevada by the January 1997 New Year Storm. In book: Engineering Geology Practice in Northern CaliforniaEdition: Bulletin 290Chapter: Sourgrass debris flow: a landslide triggered in the Sierra Nevada by the January 1007 New Year StromPublisher: California Division of Mines and GeologyEditors: H. Ferriz and R. Anderson",California,Pilot Ridge,460,0.28,16,,,,,,,
"Meyer and Wells 1997. Fire-related sedimentation events on alluvial fans, yellowstone national park, usa. Journal of Sedimentary Research 67(5):776-791",Wyoming ,Twelve Kilometer,"11,500",0.16,9,,,,,,,
"Meyer et al., 2001. Fire, storms, and erosional events in the Idaho batholith. Hydrological processes 15:3025-3038",Idaho ,Jughead,"14,600",0.2,11,,,,,,,
"Jackson et al., 1989. Cathedral Mountain debris flows, Canada. Bulletin of the International Association of Engineering Geology 40, 35–54",British Columbia ,Cathedral Gulch,"80,000",0.34,19,,,,,,,
"Jackson et al., 1989. Cathedral Mountain debris flows, Canada. Bulletin of the International Association of Engineering Geology 40, 35–55",British Columbia ,Cathedral Gulch,"90,000",0.32,18,,,,,,,
"Jackson et al., 1989. Cathedral Mountain debris flows, Canada. Bulletin of the International Association of Engineering Geology 40, 35–56",British Columbia ,Cathedral Gulch,"24,000",0.38,21,,,,,,,
"Nasmith and Mercer.1979.  Design of dykes to protect against debris flows at Port Alice, British Colombia. Canadian Geotechnical Journal 16:784-757",British Columbia,Port Alice - Gully 1,"22,000",0.31,17,,,,,,,
"Nasmith and Mercer.1979.  Design of dykes to protect against debris flows at Port Alice, British Colombia. Canadian Geotechnical Journal 16:784-757",British Columbia,Port Alice - Gully 2,"45,000",0.31,17,,,,,,,
"Couture, R. and S.G. Evans, 2001. Comments on debris flow activity at Five-Mile Creek, Banff National Park. Confidential Report, 2001. 3 p",British Columbia ,5-Mile Creek,"50,000",0.24,13,,,,,,,
"Jakob et al., 2011. An unusually large debris flow at Hummingbird Creek, Mara Lake, British Columbia. Canadian Geotechnical Journal 37(5):1109-1125",British Columbia,Hummingbird Creek,"90,000",0.22,12,,,,,,,
"Bartle et al. 1997. Report on the May 31, 1997. Gowan Creek Debris Flow and Fatality. Regional File: 17275-30/DSQ",British Columbia,Gowan Creek,"60,000",0.45,24,,,,,,,
"Devoli et al., 2009. Statistical analysis of landslide events in central america and their runout distance. Geotech Geol Eng 27:23-42",Nicaragua ,Ocotal,"2,000",0.519,27,,,,,,,
Milne et al. 2015. Some key topographic and material controls on debris flows in Scotland. Quarterly Journal of Engineering Geology and Hydrogeology 48(3-4): 212-223,Scotland ,An Teallach 1,59,0.48,26,,,,,,,
Milne et al. 2015. Some key topographic and material controls on debris flows in Scotland. Quarterly Journal of Engineering Geology and Hydrogeology 48(3-4): 212-223,Scotland ,An Teallach 2,90,0.556,29,,,,,,,
Milne et al. 2015. Some key topographic and material controls on debris flows in Scotland. Quarterly Journal of Engineering Geology and Hydrogeology 48(3-4): 212-223,Scotland ,Lairig Ghru,"1,530",0.564,29,,,,,,,
Milne et al. 2015. Some key topographic and material controls on debris flows in Scotland. Quarterly Journal of Engineering Geology and Hydrogeology 48(3-4): 212-223,Scotland ,Mill Glen,20,0.667,34,,,,,,,
Milne et al. 2015. Some key topographic and material controls on debris flows in Scotland. Quarterly Journal of Engineering Geology and Hydrogeology 48(3-4): 212-223,Scotland ,Glen Ogle 1,"8,500",0.448,24,,,,,,,
Milne et al. 2015. Some key topographic and material controls on debris flows in Scotland. Quarterly Journal of Engineering Geology and Hydrogeology 48(3-4): 212-223,Scotland ,Glen Ogle 2,"3,200",0.406,22,,,,,,,
D'Agostino et al. 2009. Field and laboratory investigations of runout distances of debris flows in the Dolomites (Easter Italian Alps). Geomorphology 115:295-304,Italian Dolomites ,Basin 1,"15,000",0.366525424,20,,,,,,,
D'Agostino et al. 2009. Field and laboratory investigations of runout distances of debris flows in the Dolomites (Easter Italian Alps). Geomorphology 115:295-304,Italian Dolomites ,Basin 2,"10,600",0.329652997,18,,,,,,,
D'Agostino et al. 2009. Field and laboratory investigations of runout distances of debris flows in the Dolomites (Easter Italian Alps). Geomorphology 115:295-304,Italian Dolomites ,Basin 3,"46,800",0.35875,20,,,,,,,
D'Agostino et al. 2009. Field and laboratory investigations of runout distances of debris flows in the Dolomites (Easter Italian Alps). Geomorphology 115:295-304,Italian Dolomites ,Basin 4,"11,000",0.399168399,22,,,,,,,
D'Agostino et al. 2009. Field and laboratory investigations of runout distances of debris flows in the Dolomites (Easter Italian Alps). Geomorphology 115:295-304,Italian Dolomites ,Basin 5,"5,200",0.393700787,21,,,,,,,
